symbol,name,industry,score,scoreValue,scoreQuality,scoreGrowth,scoreSafety,scoreBonus,dataCoverage,price,peRatio,pbRatio,roe,netMargin,revenueGrowth,netIncomeGrowth,debtEquity,dividendYield,dollarVolume,analystRating,priceTarget,upsidePct,lastTradeDate
ACAMD,"Arab Co.,for asset management and development","Land Subdividers and Developers, Except Cemeteries",63.7,23.7,91.6,,47.5,8.1,3/4,2.09,22.82,37.76635,191.88,36.59,,,0.019,4.63,56269112,n/a,,,2026-08-20
OCDI,"Sixth of October for Development and Investment Company ""SODIC"" (S.A.E.)",Real Estate,63.3,70.2,48.1,84.7,43.9,0,4/4,32.7,10.3,2.47105,27.32,17.9,111.961,25.514,0.719,,84056200,n/a,,,2026-08-20
BONY,Bonyan for Development and Trade,Real Estate Operators (except Developers) And Lessors,63.2,71.6,52.3,27.5,73.5,8.1,4/4,4.71,4.08,0.70061,18.71,231.11,12.037,-13.521,0.095,,55081566,Strong Buy,6.27,33.12,2026-08-20
FERC,Ferchem Misr for fertilizers and chemicals S.A.E,Agricultural Chemicals,63.1,42.6,73.6,67.3,14.2,9.3,4/4,77,17.4,7.57819,42.09,16.79,409.573,201.081,1.256,7.77,15510649,n/a,,,2026-08-20
GGCC,Giza General - Contracting and Real Estate Investment S.A.E,Real Estate,63.0,69.8,43.8,79.1,60.7,0,4/4,0.93,12.25,2.35979,21.45,12.64,24.992,112.621,0.703,,35391959,n/a,,,2026-08-20
OBRI,El-Ebour Co. for Real Estate Investment S.A.E.,"Land Subdividers and Developers, Except Cemeteries",62.6,63.8,28.7,94.1,75.3,0,4/4,32.49,16.91,3.81817,21.92,4.01,112.851,169.632,0.15,,16248444,n/a,,,2026-08-20
CANA,Suez Canal Bank (S.A.E),Commercial Banks,62.3,72.4,60.4,63.0,45.0,0,4/4,41.63,7.12,2.01161,37.9,40.77,43.174,5.765,0.36,,16471784,n/a,,,2026-08-20
ORHD,Orascom Development Egypt S.A.E.,Hotels and Motels,62.2,74.3,60.8,42.2,33.6,6.1,4/4,40.97,8.65,2.27195,30.56,18.95,22.154,-4.391,0.583,0.94,153922037,Strong Buy,58.55,42.91,2026-08-20
CIRA,Cairo For Investment And Real Estate Developments-CIRA Education,Real Estate,62.1,35.9,68.7,95.8,25.6,2.9,4/4,37.18,22.81,7.13269,36.48,15.89,64.145,291.653,1.313,0.91,13214181,n/a,,,2026-08-20
TMGH,Talaat Moustafa Group Holding,"Investors, not elsewhere classified",61.7,68.8,40.3,67.3,47.3,5.1,4/4,97.7,12.93,1.19459,13.31,22.62,36.488,17.934,0.441,0.26,212655579,Strong Buy,141.9,45.24,2026-08-20
GIHD,Gharbia Islamic Housing Development Company,"Land Subdividers and Developers, Except Cemeteries",61.3,23.1,64.8,95.7,73.3,0,4/4,60.7,29.49,6.30166,19.38,84.67,160.195,159.629,,,30422354,n/a,,,2026-08-20
