symbol,date,price,trend,rsi,macdSignal,ma20,ma50,ma200,vsMa50Pct,vsMa200Pct,support,resistance,stopLoss,riskPct,high52,low52,fromHigh52Pct,atr,atrPct,volumeRatio
KWIN,2026-08-13,86.8,صاعد قوي,49.9,هابط,92.67,79.38,70.24,9.3,23.6,82.44,88.41,72.55,16.4,100.9,53.99,-14.0,7.13,8.21,0.63
UNIP,2026-08-13,0.4,صاعد قوي,61.0,هابط,0.4,0.35,0.29,14.4,37.2,0.38,0.42,0.37,7.5,0.42,0.23,-4.3,0.02,4.31,1.04
EEII,2026-08-13,3.04,صاعد قوي,63.8,صاعد,2.78,2.62,2.22,16.0,37.2,2.5,,2.45,19.4,3.18,1.68,-4.4,0.15,4.98,2.32
ALUM,2026-08-13,28.4,صاعد قوي,73.1,صاعد,24.56,23.72,20.82,19.7,36.4,25.55,,25.04,11.8,28.9,13.02,-1.7,1.27,4.46,3.91
AMII,2026-08-13,14.66,صاعد قوي,63.8,هابط,13.25,11.92,8.95,22.9,63.8,12.8,15.79,12.31,16.0,15.79,3.97,-7.2,1.18,8.02,1.04
CAED,2026-08-13,126.66,صاعد قوي,64.5,هابط,123.25,93.35,71.91,35.7,76.1,,133.5,108.38,14.4,133.5,37.51,-5.1,9.14,7.22,0.88
EALR,2026-08-13,387.55,صاعد قوي,57.2,صاعد,376.51,365.0,346.32,6.2,11.9,382.41,398.02,338.99,12.5,459,90.83,-15.6,24.28,6.27,1.97
CRST,2026-08-13,2.92,صاعد قوي,87.0,صاعد,2.03,1.61,0.87,80.8,237.0,,,2.6,11.0,2.92,0.36,0.0,0.16,5.45,1.23
MEPA,2026-08-13,1.88,صاعد قوي,55.3,هابط,1.87,1.75,1.68,7.7,11.7,1.83,1.99,1.71,9.0,1.99,1.21,-5.5,0.08,4.45,1.01
KABO,2026-08-13,8.77,صاعد قوي,68.8,هابط,8.32,7.28,6.52,20.5,34.4,7.09,,6.95,20.8,8.8,4.71,-0.3,0.36,4.08,1.3
SNFC,2026-08-13,11.02,متذبذب,42.6,صاعد,11.12,11.69,10.55,-5.7,4.5,10.46,12.34,10.25,7.0,12.71,8.31,-13.3,0.26,2.4,0.88
IDRE,2026-08-13,55,صاعد قوي,65.6,صاعد,50.48,46.74,39.65,17.7,38.7,52.2,57.03,49.76,9.5,57.2,26.82,-3.8,2.62,4.76,1.19
AFDI,2026-08-13,66.99,صاعد قوي,78.5,صاعد,55.76,49.07,38.13,36.5,75.7,,,59.6,11.0,68.18,29.96,-1.7,3.69,5.51,0.78
CCRS,2026-08-13,2.44,متذبذب,45.7,هابط,2.55,2.46,1.82,-1.0,34.3,2.26,2.58,2.21,9.4,4.11,1.29,-40.6,0.11,4.54,0.68
